PROGRAM	BYTES	BYTES_CF	BPS	C_TIME (s)	C_MEM (GB)	D_TIME (s)	D_MEM (GB)	DIFF	RUN
JARVIS3_BIN	699930	169022	1.931	3.000	0.005	3.000	0.005	0	52	-cm 9:1:1:0/1:1:1:0
JARVIS3_BIN	699930	169745	1.940	3.000	0.005	3.000	0.005	0	53	-cm 9:1:2:0/1:0:1:0
JARVIS3_BIN	699930	169629	1.938	3.000	0.005	3.000	0.005	0	54	-cm 9:1:2:0/1:1:1:0
JARVIS3_BIN	699930	169961	1.942	3.000	0.011	3.000	0.011	0	55	-cm 10:1:0:0/1:0:1:0
JARVIS3_BIN	699930	169905	1.941	3.000	0.011	3.000	0.010	0	56	-cm 10:1:0:0/1:1:1:0
JARVIS3_BIN	699930	169768	1.940	3.000	0.011	3.000	0.011	0	57	-cm 10:1:1:0/1:0:1:0
JARVIS3_BIN	699930	169669	1.939	3.000	0.011	3.000	0.011	0	58	-cm 10:1:1:0/1:1:1:0
JARVIS3_BIN	699930	170133	1.944	3.000	0.011	3.000	0.011	0	59	-cm 10:1:2:0/1:0:1:0
JARVIS3_BIN	699930	170066	1.943	3.000	0.011	3.000	0.010	0	60	-cm 10:1:2:0/1:1:1:0
JARVIS3_BIN	699930	170085	1.944	3.000	0.034	3.000	0.034	0	61	-cm 11:1:0:0/1:0:1:0
JARVIS3_BIN	699930	170032	1.943	3.000	0.034	3.000	0.034	0	62	-cm 11:1:0:0/1:1:1:0
JARVIS3_BIN	699930	170008	1.943	3.000	0.034	4.000	0.034	0	63	-cm 11:1:1:0/1:0:1:0
JARVIS3_BIN	699930	169944	1.942	3.000	0.034	3.000	0.034	0	64	-cm 11:1:1:0/1:1:1:0
JARVIS3_BIN	699930	170287	1.946	3.000	0.034	3.000	0.034	0	65	-cm 11:1:2:0/1:0:1:0
JARVIS3_BIN	699930	170243	1.945	4.000	0.034	3.000	0.034	0	66	-cm 11:1:2:0/1:1:1:0
JARVIS3_BIN	699930	170096	1.944	3.000	0.126	3.000	0.126	0	67	-cm 12:1:0:0/1:0:1:0
JARVIS3_BIN	699930	169973	1.942	4.000	0.126	4.000	0.126	0	68	-cm 12:1:0:0/1:1:1:0
JARVIS3_BIN	699930	170045	1.943	4.000	0.128	4.000	0.127	0	69	-cm 12:1:1:0/1:0:1:0
JARVIS3_BIN	699930	169941	1.942	4.000	0.127	4.000	0.127	0	70	-cm 12:1:1:0/1:1:1:0
JARVIS3_BIN	699930	170332	1.946	4.000	0.126	4.000	0.126	0	71	-cm 12:1:2:0/1:0:1:0
JARVIS3_BIN	699930	170304	1.946	4.000	0.126	4.000	0.126	0	72	-cm 12:1:2:0/1:1:1:0
JARVIS3_BIN	699930	170134	1.944	4.000	0.431	4.000	0.431	0	73	-cm 13:1:0:0/1:0:1:0
JARVIS3_BIN	699930	169920	1.942	4.000	0.431	4.000	0.431	0	74	-cm 13:1:0:0/1:1:1:0
JARVIS3_BIN	699930	170102	1.944	4.000	0.472	4.000	0.472	0	75	-cm 13:1:1:0/1:0:1:0
JARVIS3_BIN	699930	169926	1.942	4.000	0.472	4.000	0.472	0	76	-cm 13:1:1:0/1:1:1:0
JARVIS3_BIN	699930	170380	1.947	4.000	0.431	4.000	0.431	0	77	-cm 13:1:2:0/1:0:1:0
JARVIS3_BIN	699930	170353	1.947	4.000	0.431	4.000	0.431	0	78	-cm 13:1:2:0/1:1:1:0
JARVIS3_BIN	699930	170173	1.945	6.000	1.078	6.000	1.078	0	79	-cm 14:1:0:0/1:0:1:0
JARVIS3_BIN	699930	169937	1.942	6.000	1.078	7.000	1.078	0	80	-cm 14:1:0:0/1:1:1:0
JARVIS3_BIN	699930	170128	1.944	7.000	1.404	7.000	1.404	0	81	-cm 14:1:1:0/1:0:1:0
JARVIS3_BIN	699930	169894	1.941	7.000	1.404	8.000	1.404	0	82	-cm 14:1:1:0/1:1:1:0
JARVIS3_BIN	699930	170406	1.947	6.000	1.078	7.000	1.077	0	83	-cm 14:1:2:0/1:0:1:0
JARVIS3_BIN	699930	170366	1.947	6.000	1.078	7.000	1.077	0	84	-cm 14:1:2:0/1:1:1:0
